ChatType,TutorialPhase,Time,SetLayer,Speaker,Belong,Dialog,Choice_0,Choice_1,Choice_2,Jump_0,Jump_1,Jump_2,RemindInstruction
TD,0,,,조르주,암호 체계 교육 AI,다시 만나뵙게 되어 반갑습니다. 사용자님. 충분히 휴식하고 오셨습니까?,,,,,,,-암호화 과정에 관하여-
TD,,,,조르주,암호 체계 교육 AI,오늘은 ADFGVX 암호 체계를 이용하여 암호를 생성하는 법을 알아보도록 하겠습니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,"시작하기에 앞서, 혹시 사용자님은 총기 분해와 조립의 과정에 대해서 알고계십니까?",,,,,,,
C2,,,,,,,"물론, 너무 생생하게 기억나서 차라리 잊고싶다.","아니, 총기의 분해 조립에 대해서는 잘 모르겠는데?",,6,29,,
E,,,,,,,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,그렇다면 검증을 위하여 제 질문에 대답해주시길 바랍니다.,,,,,,,-총기의 분해와 조립?-
TD,,,,조르주,암호 체계 교육 AI,조립은 분해의...?,,,,,,,
C2,,,,,,,"하, 너무 쉬운데? 그야 조립은 분해의 역순이지.",음? 조립은 분해의... 뭘까?,,10,15,,
E,,,,,,,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,그렇습니다. 총기의 조립은 분해를 거꾸로 하면 됩니다.,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,저번에 복호화 과정을 잘 소화하셨다면 조립정도야 누워서 떡 먹기이실 겁니다.,,,,,,,
A,,,,,,,"어라, 떡이라니까 떡이 먹고 싶네.",,,,,,
J,,,,,,,,,,39,,,
E,,,,,,,,,,,,,
TD,,,,조르주,암호 체계 교육 AI,...사용자님은 지금 저를 기만하고 있습니다.,,,,,,,
A,,,,,,,"아, 딱히 그럴 마음은 없었는데.",,,,,,
TD,,,,조르주,암호 체계 교육 AI,그렇다면 왜 총기 분해와 조립에 대해서 잘 알고있다고 제게 거짓말을 하셨습니까?,,,,,,,
A,,,,,,,"너, 말하는게 마치 감정이 있는 것처럼 말한다?",,,,,,
TD,,,,조르주,암호 체계 교육 AI,"제게 감정이라는 기능은 사치입니다만, 프로그래밍된 분노는 존재하고 있습니다.",,,,,,,
