ChatType,Time,React,Speaker,Belong,Dialog,Choice_0,Choice_1,Choice_2,Jump_0,Jump_1,Jump_2,RemindInstruction,,,,,,
TD,,,나,정보국,지금부터 검사를 개시하겠습니다. ,,,,,,,-대상자 쾨니히스베르그와 대면-,,,,,,
TD,,,나,정보국,"음, 제 말이 들리십니까?",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,검사관님!? 제 말을 좀 들어보시죠. 저는 억울합니다!,,,,,,,,,,,,,
TD,,,나,정보국,저는 당신의 말을 들을 필요가 전혀 없습니다.,,,,,,,,,,,,,
TD,,,나,정보국,당신이 제 말을 듣고 대답해야하는 겁니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"아니, 검사관님!",,,,,,,,,,,,,
TD,,,나,정보국,아직도 상황파악이 잘 안되십니까?,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,이런 젠장! 빌어먹을 자식들! 호로자식들 같으니라고!,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"이렇게, 이렇게 나한테 잔인할 수가 있어?!",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,"내가 얼마나 이 나라에 공헌했는지, 그걸 니가 알기는 해!?",,,,,,,,,,,,,
TD,,,나,정보국,"쾨니히씨, 원한다면 지금 검사를 끝내드리죠.",,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,뭐?,,,,,,,,,,,,,
TD,,,나,정보국,검사를 할 필요가 없을 정도로 비협조적이며 반사회적이라고 사료된다.,,,,,,,,,,,,,
TD,,n,쾨니히스베르그,전 주택교통부 장관,윽.,,,,,,,,,,,,,
TD,,,나,정보국,저는 검사 결과지에 직접 보고들은 사실들을 그대로 써놓을 뿐입니다.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,하... 좋아요. 합시다. 그 검사라는 거.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,그리고 미리 말해두겠지만... 저는 틀림없는...,,,,,,,,,,,,,
TE,1.0,,쾨니히스베르그,전 주택교통부 장관,애.국.자.,,,,,,,,,,,,,
TD,,,쾨니히스베르그,전 주택교통부 장관,입니다. 그러니 당신 혹은 누군가가 간절히 원할 결과는 결코 일어나지 않을 겁니다.,,,,,,,,,,,,,
TD,,,나,정보국,그렇습니까? 음. 흥미롭군요.,,,,,,,,,,,,,
TE,1.0,,나,정보국,그거 참...,,,,,,,,,,,,,
TD,,,나,정보국,그렇다면 검사에 성실히 임하시면 되겠네요. 당신의 애국심을 증명하는 자리 아닙니까?,,,,,,,,,,,,,
TD,,c,쾨니히스베르그,전 주택교통부 장관,젠장. 빌어먹을.,,,,,,,,,,,,,
