Time,Place,Action,Type,ErrorType,ErrorTime,ErrorPlace,ErrorAction,Question,Answer1,Answer2,Answer3
7:30,CafeRATE,커피 구매,Card,None,None,None,None,None,None,None,None
7:50,Office,출근,Work,None,None,None,None,None,None,None,None
11:50,Office,점심 식사 부재중 전환,Work,None,None,None,None,None,None,None,None
12:10,Cafeteria,점심 식권 구매,Card,None,None,None,None,None,None,None,None
12:45,Cafeteria,커피 구매,Card,None,None,None,None,None,None,None,None
13:00,Office,재실 전환,Work,None,None,None,None,None,None,None,None
18:10,Office,퇴근,Work,Perjury,17:50,None,None,None,None,None,None
18:20,RMart,상품 구매,Card,Distance,None,None,None,RMart와 진술하신 HomeMinus는 거리가 꽤 되어 헷갈릴 일이 없는데 어떻게 된 일인가요?,오늘 직장 상사에게 혼나서 정신이 없었던 것 같습니다.,직장상사의 차를 얻어탔었어서 금방 이동해서 헷갈렸던 것 같습니다.,무슨 소리 입니까 저는 분명 RMart를 가지 않았습니다.
18:30,NH ATM,현금 인출,Card,Question,None,None,None,갑자기 많은 양의 돈을 인출하신 이유가 뭐죠?,기숙사 비용 내는 날이라 그렇습니다.,저는 인출을 한 적이 없습니다.,그냥 필요해서 인출했습니다. 그게 죄는 아니지 않습니까?
20:00,Dormitory,기숙사 입실,Work,None,None,None,None,None,None,None,None
